MemTotal:       65584832 kB
MemFree:        64341996 kB
MemFree:        64341996 kB
MemFree:        64341988 kB
MemFree:        64342500 kB
MemFree:        64186208 kB
MemFree:        62718920 kB
MemFree:        61246016 kB
MemFree:        60094264 kB
MemFree:        57325240 kB
MemFree:        45611904 kB
MemFree:        36443968 kB
MemFree:        27431252 kB
MemFree:        19544392 kB
MemFree:        16541316 kB
MemFree:        15246124 kB
MemFree:        14040332 kB
MemFree:        13009784 kB
MemFree:        12228032 kB
MemFree:        11661432 kB
MemFree:        11156732 kB
MemFree:        10780324 kB
MemFree:        10467716 kB
MemFree:        10128608 kB
MemFree:         9842716 kB
MemFree:         9626996 kB
MemFree:         9505804 kB
MemFree:         9435796 kB
MemFree:         9391008 kB
MemFree:         9355892 kB
MemFree:         9333640 kB
MemFree:         9313824 kB
MemFree:         9299788 kB
MemFree:         9290524 kB
MemFree:         9283044 kB
MemFree:         9276656 kB
MemFree:         9273468 kB
MemFree:         9271336 kB
MemFree:         9269568 kB
MemFree:         9270248 kB
MemFree:         9270860 kB
MemFree:         9269372 kB
MemFree:         9268588 kB
MemFree:         9268000 kB
MemFree:         9266424 kB
MemFree:         9265412 kB
MemFree:         9265184 kB
MemFree:         9264944 kB
MemFree:         9264936 kB
MemFree:         9264984 kB
MemFree:         9264812 kB
MemFree:         9264516 kB
MemFree:         9264564 kB
MemFree:         9263568 kB
MemFree:         9262820 kB
MemFree:         9262768 kB
MemFree:         9263328 kB
MemFree:         9263420 kB
MemFree:         9262572 kB
MemFree:         9262336 kB
MemFree:         9262540 kB
MemFree:         9262684 kB
MemFree:         9262092 kB
MemFree:         9262112 kB
MemFree:         9261284 kB
MemFree:         9261740 kB
MemFree:         9261452 kB
MemFree:         9261772 kB
MemFree:         9262324 kB
MemFree:         9262460 kB
MemFree:         9597508 kB
MemFree:        13497440 kB
MemFree:        13498196 kB
MemFree:        13498516 kB
MemFree:        13498908 kB
MemFree:        13499072 kB
MemFree:        13499228 kB
MemFree:        13499332 kB
MemFree:        13498836 kB
MemFree:        13499332 kB
MemFree:        13499848 kB
MemFree:        13500220 kB
MemFree:        13500092 kB
MemFree:        13500360 kB
MemFree:        13500100 kB
MemFree:        13500620 kB
MemFree:        13500388 kB
