MemTotal:       65584832 kB
MemFree:        64298660 kB
MemFree:        64298676 kB
MemFree:        64298684 kB
MemFree:        64300092 kB
MemFree:        64300720 kB
MemFree:        64077788 kB
MemFree:        62755320 kB
MemFree:        61291540 kB
MemFree:        59818932 kB
MemFree:        58267264 kB
MemFree:        56789256 kB
MemFree:        55376944 kB
MemFree:        54013292 kB
MemFree:        52720332 kB
MemFree:        51317124 kB
MemFree:        49846004 kB
MemFree:        48302844 kB
MemFree:        46832000 kB
MemFree:        45292960 kB
MemFree:        43766588 kB
MemFree:        42196956 kB
MemFree:        40538272 kB
MemFree:        39301080 kB
MemFree:        38024892 kB
MemFree:        36462428 kB
MemFree:        34590012 kB
MemFree:        32830516 kB
MemFree:        31133988 kB
MemFree:        29350440 kB
MemFree:        27575976 kB
MemFree:        25856260 kB
MemFree:        24318216 kB
MemFree:        22829816 kB
MemFree:        21340588 kB
MemFree:        19803216 kB
MemFree:        18322444 kB
MemFree:        16872620 kB
MemFree:        15367768 kB
MemFree:        13886496 kB
MemFree:        12502444 kB
MemFree:        11059432 kB
MemFree:         9471688 kB
MemFree:         7877300 kB
MemFree:         6402188 kB
MemFree:         5514620 kB
MemFree:         4576288 kB
MemFree:         3505080 kB
MemFree:         2762492 kB
MemFree:         2304496 kB
MemFree:         2335984 kB
MemFree:         2306596 kB
MemFree:         1497172 kB
MemFree:          740116 kB
MemFree:          448980 kB
MemFree:         1201956 kB
MemFree:         4168032 kB
MemFree:         6443272 kB
MemFree:         8192836 kB
MemFree:         9435024 kB
MemFree:        10338052 kB
MemFree:        11135312 kB
MemFree:        11758772 kB
MemFree:        12223124 kB
MemFree:        12581868 kB
MemFree:        12865652 kB
MemFree:        13097780 kB
MemFree:        13285932 kB
MemFree:        13439540 kB
MemFree:        13567868 kB
MemFree:        13669028 kB
MemFree:        13754328 kB
MemFree:        13814520 kB
MemFree:        13866452 kB
MemFree:        13910160 kB
MemFree:        13942892 kB
MemFree:        13967972 kB
MemFree:        13991256 kB
MemFree:        14007700 kB
MemFree:        14027868 kB
MemFree:        14036928 kB
MemFree:        14045476 kB
MemFree:        14054036 kB
MemFree:        14062484 kB
MemFree:        14073156 kB
MemFree:        14082508 kB
MemFree:        14088316 kB
MemFree:        14097036 kB
MemFree:        14107772 kB
MemFree:        14113452 kB
MemFree:        14122536 kB
MemFree:        14129612 kB
MemFree:        14135832 kB
MemFree:        14141192 kB
MemFree:        14148820 kB
MemFree:        14154308 kB
MemFree:        14162928 kB
MemFree:        14167744 kB
MemFree:        14172344 kB
MemFree:        14177676 kB
MemFree:        14180984 kB
MemFree:        14185016 kB
MemFree:        14187544 kB
MemFree:        14189504 kB
MemFree:        14191960 kB
MemFree:        14194796 kB
MemFree:        14197084 kB
MemFree:        14200360 kB
MemFree:        14203752 kB
MemFree:        14207192 kB
MemFree:        14210012 kB
MemFree:        14211732 kB
MemFree:        14215360 kB
MemFree:        14218784 kB
MemFree:        14222920 kB
MemFree:        14226228 kB
MemFree:        14229276 kB
MemFree:        17869512 kB
MemFree:        18486112 kB
MemFree:        18488136 kB
MemFree:        18488664 kB
MemFree:        18489668 kB
MemFree:        18491108 kB
MemFree:        18491196 kB
MemFree:        18492204 kB
MemFree:        18492568 kB
MemFree:        18493108 kB
MemFree:        18493596 kB
MemFree:        18494620 kB
MemFree:        18494376 kB
MemFree:        18494896 kB
MemFree:        18494628 kB
MemFree:        18495536 kB
MemFree:        18495880 kB
MemFree:        18495872 kB
MemFree:        18495864 kB
MemFree:        18495352 kB
MemFree:        18495328 kB
MemFree:        18496352 kB
MemFree:        18496336 kB
MemFree:        18496564 kB
MemFree:        18497328 kB
MemFree:        18497212 kB
MemFree:        18497564 kB
MemFree:        18498024 kB
MemFree:        18498008 kB
MemFree:        18498008 kB
MemFree:        18498260 kB
MemFree:        18498000 kB
MemFree:        18499024 kB
MemFree:        18498504 kB
MemFree:        18498760 kB
MemFree:        18498536 kB
MemFree:        18498236 kB
MemFree:        18499252 kB
MemFree:        18499496 kB
MemFree:        18499488 kB
MemFree:        18499460 kB
MemFree:        18499720 kB
MemFree:        18500364 kB
MemFree:        18499852 kB
MemFree:        18499384 kB
MemFree:        18499636 kB
MemFree:        18499368 kB
MemFree:        18499636 kB
MemFree:        18499620 kB
MemFree:        18499612 kB
MemFree:        18499596 kB
MemFree:        18499344 kB
MemFree:        18500336 kB
MemFree:        18499840 kB
MemFree:        18500580 kB
MemFree:        18500580 kB
MemFree:        18500572 kB
MemFree:        18500304 kB
MemFree:        18500808 kB
MemFree:        18501052 kB
MemFree:        18501052 kB
MemFree:        18501008 kB
MemFree:        18502828 kB
MemFree:        18502792 kB
MemFree:        18503756 kB
MemFree:        18504036 kB
MemFree:        18504020 kB
MemFree:        18503776 kB
MemFree:        18503492 kB
MemFree:        18504012 kB
MemFree:        18503468 kB
MemFree:        18504016 kB
