MemTotal:       65584832 kB
MemFree:        64215544 kB
MemFree:        64215276 kB
MemFree:        64215796 kB
MemFree:        62981060 kB
MemFree:        61515616 kB
MemFree:        60066676 kB
MemFree:        53029740 kB
MemFree:        49042840 kB
MemFree:        45415992 kB
MemFree:        41492264 kB
MemFree:        36848596 kB
MemFree:        32754584 kB
MemFree:        28122888 kB
MemFree:        25475816 kB
MemFree:        27630996 kB
MemFree:        33038340 kB
MemFree:        37059040 kB
MemFree:        40085000 kB
MemFree:        42290624 kB
MemFree:        43895728 kB
MemFree:        45080712 kB
MemFree:        45913848 kB
MemFree:        46510112 kB
MemFree:        46976644 kB
MemFree:        47320708 kB
MemFree:        47581876 kB
MemFree:        47790356 kB
MemFree:        47937640 kB
MemFree:        48046296 kB
MemFree:        48129468 kB
MemFree:        48188280 kB
MemFree:        48238868 kB
MemFree:        48278020 kB
MemFree:        48304184 kB
MemFree:        48326784 kB
MemFree:        48345572 kB
MemFree:        48362140 kB
MemFree:        48379992 kB
MemFree:        48392856 kB
MemFree:        48408548 kB
MemFree:        48418176 kB
MemFree:        48427004 kB
MemFree:        48436916 kB
MemFree:        48447240 kB
MemFree:        48455804 kB
MemFree:        48462900 kB
MemFree:        48472860 kB
MemFree:        48480280 kB
MemFree:        48492144 kB
MemFree:        48496420 kB
MemFree:        48503044 kB
MemFree:        48508576 kB
MemFree:        48515376 kB
MemFree:        48521028 kB
MemFree:        48525084 kB
MemFree:        48529024 kB
MemFree:        48533920 kB
MemFree:        48535872 kB
MemFree:        48539984 kB
MemFree:        48542000 kB
MemFree:        48547220 kB
MemFree:        48551616 kB
MemFree:        48558616 kB
MemFree:        48560552 kB
MemFree:        48563604 kB
MemFree:        48567484 kB
MemFree:        48573748 kB
MemFree:        48578924 kB
MemFree:        48580948 kB
MemFree:        48584188 kB
MemFree:        48585264 kB
MemFree:        48587024 kB
MemFree:        48587736 kB
MemFree:        48588640 kB
MemFree:        48588868 kB
MemFree:        48595712 kB
MemFree:        52851416 kB
MemFree:        52852268 kB
MemFree:        52853224 kB
